##,continent,color
1,Crenarchaeota,17
2,Halobacterota,18
3,Bdellovibrionota,4
4,Bdellovibrionota,4
5,Bdellovibrionota,4
6,Fusobacteriota,12
7,Fusobacteriota,12
8,Fusobacteriota,12
9,Bdellovibrionota,4
10,Verrucomicrobiota,7
11,Bdellovibrionota,4
12,Bdellovibrionota,4
13,Cyanobacteria,9
14,Cyanobacteria,9
15,Cyanobacteria,9
16,Cyanobacteria,9
17,Cyanobacteria,9
18,Cyanobacteria,9
19,Firmicutes,5
20,Firmicutes,5
21,Firmicutes,5
22,Firmicutes,5
23,Firmicutes,5
24,Firmicutes,5
25,Firmicutes,5
26,Firmicutes,5
27,Firmicutes,5
28,Firmicutes,5
29,Firmicutes,5
30,Firmicutes,5
31,Verrucomicrobiota,7
32,Actinobacteriota,2
33,Actinobacteriota,2
34,Actinobacteriota,2
35,Actinobacteriota,2
36,Actinobacteriota,2
37,Actinobacteriota,2
38,Actinobacteriota,2
39,Actinobacteriota,2
40,Actinobacteriota,2
41,Actinobacteriota,2
42,Actinobacteriota,2
43,Actinobacteriota,2
44,Actinobacteriota,2
45,Actinobacteriota,2
46,Actinobacteriota,2
47,Actinobacteriota,2
48,Planctomycetota,3
49,Planctomycetota,3
50,Planctomycetota,3
51,Deinococcota,20
52,Patescibacteria,10
53,Patescibacteria,10
54,Patescibacteria,10
55,Patescibacteria,10
56,Acidobacteriota,11
57,Campilobacterota,8
58,Campilobacterota,8
59,Campilobacterota,8
60,Campilobacterota,8
61,Campilobacterota,8
62,Campilobacterota,8
63,Campilobacterota,8
64,Firmicutes,5
65,Firmicutes,5
66,Firmicutes,5
67,Firmicutes,5
68,Firmicutes,5
69,Firmicutes,5
70,Firmicutes,5
71,Firmicutes,5
72,Firmicutes,5
73,Firmicutes,5
74,Firmicutes,5
75,Firmicutes,5
76,Firmicutes,5
77,Firmicutes,5
78,Firmicutes,5
79,Firmicutes,5
80,Firmicutes,5
81,Firmicutes,5
82,Firmicutes,5
83,Firmicutes,5
84,Actinobacteriota,2
85,Actinobacteriota,2
86,Actinobacteriota,2
87,Actinobacteriota,2
88,Actinobacteriota,2
89,Actinobacteriota,2
90,Actinobacteriota,2
91,Cyanobacteria,9
92,Proteobacteria,6
93,Proteobacteria,6
94,Proteobacteria,6
95,Proteobacteria,6
96,Proteobacteria,6
97,Proteobacteria,6
98,Proteobacteria,6
99,Proteobacteria,6
100,Proteobacteria,6
101,Proteobacteria,6
102,Proteobacteria,6
103,Proteobacteria,6
104,Proteobacteria,6
105,Proteobacteria,6
106,Proteobacteria,6
